"salary ($100,000s)" // "Name & Position. Source: www.conway-sports.com" 
62 // "Ruben Sierra of " 
53 // "Paul O'Neill of " 
50 // "Kenny Rogers p " 
46.66666 // "David Cone p " 
46.5 // "Melido Perez p (DL) " 
40 // "John Wetteland p " 
30 // "Bernie Williams of " 
23 // "Tino Martinez 1b " 
22.5 // "Joe Girardi c " 
20 // "Wade Boggs 3b " 
17.5 // "Jimmy Key p " 
15 // "Tony Fernandez ss (DL) " 
14.5 // "Tim Raines of (DL) " 
13.30579 // "Jim Leyritz c " 
11 // "Scott Kamieniecki p (DL) " 
9 // "Pat Kelly 2b (DL) " 
8.6 // "Jeff Nelson p " 
8.5 // "Dwight Gooden p " 
8 // "Bob Wickman p " 
7.25 // "Mariano Duncan 2b " 
5 // "Steve Howe p " 
2 // "Gerald Williams of " 
1.5 // "Andy Pettitte p " 
1.31125 // "Mariano Rivera p " 
1.2 // "Derek Jeter ss " 
1.19 // "Mark Hutton p " 
1.19 // "Robert Eenhoorn ss " 
1.09 // "Andy Fox 2b " 
1.09 // "Matt Luke of " 
50 // "Mark Langston p " 
38 // "Chili Davis of " 
30 // "Chuck Finley p " 
25 // "Tim Salmon of " 
22 // "Jim Abbott p " 
21 // "Lee Smith p " 
16 // "Gary DiSarcina ss " 
8 // "Randy Velarde ss " 
7 // "J T Snow 1b " 
5.5 // "Jim Edmonds of " 
5 // "Bryan Harvey p (DL) " 
4 // "Tim Wallach 3b " 
3.3 // "Troy Percival p " 
3.05 // "Damion Easley 2b(DL) " 
3 // "Rex Hudler 2b " 
3 // "Jack Howell 3b " 
2.5 // "Garret Anderson of " 
2.5 // "Don Slaught c " 
2.5 // "Dick Schofield ss " 
2.25 // "Steve Ontiveros p (DL) " 
2 // "Scott Sanderson p (DL) " 
2 // "Mike Aldrete 1b " 
2 // "Shawn Boskie p " 
1.75 // "Jorge Fabregas c " 
1.6 // "Mark Eichhorn p " 
1.5 // "Mike James p " 
1.175 // "Mark Holzemer p " 
1.12 // "Ken Edenfield p " 
1.09 // "George Arias 3b " 
1.09 // "Tim Harkrider ss (DL) " 
65 // "Joe Carter of " 
65 // "John Olerud 1b " 
23.33333 // "Erik Hanson p " 
22.5 // "Pat Hentgen p " 
22.4 // "Juan Guzman p " 
19 // "Otis Nixon of " 
14.5 // "Ed Sprague 3b " 
7.75 // "Paul Quantrill p " 
6.6 // "Tony Castillo p " 
6.35 // "Mike Timlin p " 
5 // "Charlie O'Brien c " 
3.25 // "Juan Samuel 2b " 
2.875 // "Shawn Green of " 
2.35 // "Bill Risley p " 
2.32875 // "Alex Gonzalez ss " 
2.3 // "Domingo Cedeno ss " 
2.25 // "Woody Williams p (DL) " 
1.85 // "Brian Bohanon p " 
1.65 // "Carlos Delgado of " 
1.65 // "Sandy Martinez c " 
1.33 // "Tim Crabtree p " 
1.15 // "Giovanni Carrara p " 
1.145 // "Robert Perez of " 
1.125 // "Jeff Ware p " 
1.09 // "Tilson Brito ss " 
1.09 // "Felipe Crespo 2b " 
55 // "Albert Belle of " 
48 // "Jack McDowell p " 
47.91667 // "Carlos Baerga 2b " 
37.89456 // "Dennis Martinez p " 
35.25 // "Kenny Lofton of " 
33.375 // "Charles Nagy p " 
30 // "Omar Vizquel ss " 
25.5 // "Sandy Alomar Jr c " 
23.79458 // "Julio Franco 1b " 
20 // "Eddie Murray 1b " 
15.5 // "Orel Hershiser p " 
15.25 // "Jim Thome 3b " 
10 // "Manny Ramirez of " 
9.25 // "Jose Mesa p " 
8.25 // "Paul Assenmacher p " 
7.5 // "Eric Plunk p " 
5.25 // "Tony Pena c " 
4.375 // "Wayne Kirby of " 
4.08333 // "Julian Tavarez p " 
4 // "Alvaro Espinoza ss " 
4 // "Jim Poole p (DL) " 
3 // "Scott Leius 3b " 
1.9 // "Jeromy Burnitz of " 
1.55 // "Alan Embree p " 
1.45 // "Chad Ogea p " 
1.09 // "Daron Kirkreit p (DL) " 
92.375 // "Cecil Fielder 1b " 
51.5 // "Travis Fryman 3b " 
20 // "Chad Curtis of " 
6.7 // "Mark Lewis 3b " 
6 // "Alan Trammell ss " 
5 // "Mark Parent c " 
5 // "Brian Williams p " 
3.25 // "Eddie Williams 3b " 
2.75 // "John Flaherty c " 
2.75 // "Chris Gomez ss " 
2.25 // "Omar Olivares p " 
2 // "Mike Christopher p " 
1.85 // "Danny Bautista of " 
1.85 // "Greg Gohr p " 
1.79 // "Randy Veres p " 
1.7 // "Felipe Lira p " 
1.7 // "Richie Lewis p " 
1.7 // "Melvin Nieves of " 
1.7 // "Bobby Higginson of " 
1.5 // "Curtis Pride of " 
1.5 // "Scott Aldred p " 
1.275 // "Mike Myers p " 
1.09 // "Clint Sodowsky p " 
1.09 // "Kim Bartee of " 
1.09 // "Greg Keagle p " 
55 // "Roger Clemens p " 
53.5 // "Mo Vaughn 1b " 
45 // "Jose Canseco of " 
37 // "Mike Greenwell of " 
29 // "Tom Gordon p " 
26.725 // "John Valentin ss " 
23 // "Mike Stanley c " 
18.5 // "Wil Cordero ss " 
17.5 // "Mike Stanton p " 
