test  HC     CO    NOx
229  1069  10397  2348
232  1042  11697  2490
233  1008  11055  2420
237  1025  11167  2332
238  1052  11246  2337
239  1065  11687  2392
240  1018  10910  2352
246  1024  11211  2326
247  1033  10914  2306
248  1001  10528  2306
249  1008  10656  2344
254  1367  11978  2386
255  1402  11888  2399
257  1317  11565  2398
258  1361  11197  2368
259  1380  11770  2333
278  1057  13262  2457
279  1096  13162  2459
291  1079  13112  2396
292  1045  12772  2357
293  1057  12925  2335
308  1023  12525  2397
309  1024  12374  2414
313  1007  12439  2309
314  1064  12572  2305
315  1047  12247  2294
349  953  11832  2359
350  999  11560  2323
351  1017  11616  2319
372  1018  12775  2421
376  1136  12460  2431
377  1100  11928  2403
456  1028  13723  2363
457  1037  13845  2322
458  1011  13680  2365
459  1022  13723  2404
461  1002  14290  2422
462  1011  13980  2351
463  968  13411  2364
464  1018  13611  2376
466  1079  13964  2496
467  1051  14068  2434
468  1026  13638  2441
469  1039  13703  2449
483  1011  12307  2477
484  1060  12478  2446
485  1064  12448  2482
486  1010  12515  2480
609  1010  13607  2618
610  1005  12563  2513
654  943  12208  2334
684  978  11992  2237
695  939  11929  2341
700  995  11751  2303
706  1004  12891  2240
768  1007  11345  2256
769  968  10957  2218
791  1005  11551  2256
793  963  11017  2246
802  954  11057  2271
803  1047  11042  2278
815  1056  12528  2336
816  1103  12242  2381
858  1017  11636  2320
862  1029  11500  2277
863  1042  11490  2262
1181  1057  11845  2637
1182  1059  11975  2390
1183  1056  12171  2412
1185  1103  11940  2480
1186  1103  11896  2473
1187  1102  11948  2499
1197  953  11610  2527
1199  1005  11567  2628
1200  1053  11750  2674
1201  1013  11749  2642
1202  974  11439  2549
1203  964  11510  2549
1204  978  11790  2528
1225  1156  12862  2487
1226  1115  12822  2437
1227  1189  13664  2275
1239  1131  12570  2375
1240  1114  12443  2383
1242  1222  12671  2391
1243  1259  13101  2405
1244  1200  13206  2368
1247  1134  12890  2389
2180  1130  13523  2399
2196  1057  11947  2160
2213  1018  12250  2300
2224  1460  14049  2202
2233  1125  14306  2361
2885  990  10898  2495
2886  1245  11074  2552
2929  1228  9373  2093
