county store   inspections
1        3          6
4        1          1
7        2          2
8        1          4
10       9          23
12       1          4
13       2          9
14       1          1
15       9          67
16       2          15
17       2          3
19       31         123
20       1          1
23       1          1
24       3          6
27       3          6
28       1          3
30       10         23
33       17         79
35       1          12
36       17         105
37       18         138
39       1          1
40       3          21
41       3          21
42       3          14
43       9          31
44       3          73
45       1          1
48       1          1
49       3          31
50       4          11
51       1          4
52       1          3
54       4          26
56       6          8
57       1          2
