"persons/1000" "housing units/1000" "occupied rentals/1000" "vacancies/1000" "vacant rentals/1000" "median rent($)" // state
4040.587 413.400082710755 110.106031623623 262.80760691454 11.1110093657184 000000229 // Alabama
550.043 422.890574009668 150.762758547968 192.692207700125 13.7789227387677 000000503 // Alaska
3665.228 452.749460606543 133.765757546325 239.701595644255 23.9886850149568 000000370 // Arizona
2350.725 425.6844165098 115.386104286975 263.722043199438 13.0848993395655 000000230 // Arkansas
29760.021 375.768619249294 154.813835648839 194.016764974729 9.70718401038763 000000561 // California
3294.394 448.443325236751 146.980597949122 242.313760891988 18.6823433991198 000000362 // Colorado
3287.116 401.826403449102 128.683624186065 245.650290406545 9.45022931956158 000000510 // Connecticut
666.168 435.204032616397 110.60873533403 260.914664168798 9.28144251900422 000000425 // Delaware
606.9 458.871313231175 251.319822046466 160.006590871643 21.3494809688581 000000441 // District_of_Columbia
12937.926 471.502310339385 130.060181206787 266.824837303908 18.3668541619422 000000402 // Florida
6478.216 407.275398041683 128.099464420452 237.219475238245 17.592497687635 000000344 // Georgia
1108.229 351.741381970694 148.30508856924 173.169083285133 8.47297805778409 000000599 // Hawaii
1006.749 410.556156499783 107.265068055692 251.039732843042 8.14304260545578 000000261 // Idaho
11430.602 394.229017859252 131.494211765924 236.13646945279 11.374379057201 000000369 // Illinois
5544.159 405.119333698763 110.829613652855 261.698483034127 9.89329490730695 000000291 // Indiana
2776.755 411.872491451352 114.863572767493 268.43455760411 7.45942656085971 000000261 // Iowa
2477.574 421.425152185162 122.282523145626 259.028388253994 14.8431489836429 000000285 // Kansas
3685.296 408.88031789034 113.780005730883 260.621941901003 9.74874202777742 000000250 // Kentucky
4219.973 406.694782170407 121.173761064348 234.105526267585 17.0906306746512 000000260 // Louisiana
1227.928 478.077704881719 111.915356600713 267.025428201002 10.0991263331401 000000358 // Maine
4781.468 395.677018020407 127.930376194089 237.854985121724 9.19989425841604 000000473 // Maryland
6016.425 410.993405552301 152.186223546375 221.30966479263 11.2251046094649 000000506 // Massachusetts
9295.297 413.964825438068 106.687069816059 261.168954579934 8.13723326968466 000000343 // Michigan
4375.099 422.492153891832 106.095884915976 270.547706463328 8.88139902662774 000000384 // Minnesota
2573.216 392.669328964222 100.958100680238 253.218929153246 10.3123873005609 000000215 // Mississippi
5117.073 429.763069629845 119.689517816142 263.577635105069 13.9962826404861 000000282 // Missouri
799.065 451.971992265961 125.476650835664 257.674907548197 12.8400067578983 000000251 // Montana
1578.385 418.542370841081 127.959274828385 253.673216610649 10.1667210471463 000000282 // Nebraska
1201.833 431.72221098938 175.489439880582 212.498741505683 17.6139280582244 000000445 // Nevada
1109.252 454.273690739345 117.929920342717 252.757714207412 15.4770962774915 000000479 // New_Hampshire
7730.188 397.831204105256 126.947753405221 234.584333524618 10.1428322312472 000000521 // New_Jersey
1515.069 417.180999677242 116.657393161632 241.550054815985 14.8131867261491 000000312 // New_Mexico
17990.455 401.706960718892 176.476136929277 192.570782673368 9.04685290060757 000000428 // New_York
6628.637 425.15422099596 121.474294036617 258.245699681548 12.1928535232809 000000284 // North_Carolina
638.8 432.592360676268 129.818409517846 247.26048841578 12.315278647464 000000266 // North_Dakota
10847.115 403.05141044416 122.557657035995 254.274892448361 9.8570910329613 000000296 // Ohio
3145.585 447.134316828189 122.376918760739 261.060502259516 20.7350937901853 000000259 // Oklahoma
2842.321 419.926883698217 143.318084058767 244.855172937891 7.82459124075008 000000344 // Oregon
11881.643 415.610871324782 111.08270127288 267.313283188192 8.55411999838743 000000322 // Pennsylvania
1003.464 413.140879991709 152.656198926917 224.016008546395 12.9730613156028 000000416 // Rhode_Island
3486.703 408.453200631083 108.796189408734 252.0157294728 13.9765273956514 000000276 // South_Carolina
696.004 420.164251929587 126.253584749513 245.919563680668 9.32753260038735 000000242 // South_Dakota
4877.185 415.417295017515 121.505950666214 258.574977164081 12.6359775157186 000000273 // Tennessee
16986.51 412.621486108683 139.865222461824 217.532324179599 20.7308034434384 000000328 // Texas
1722.85 347.324491395072 99.4247903183678 212.42650259744 9.30551121687901 000000300 // Utah
562.758 481.937173705216 116.003681866806 258.313520198735 9.09094139932262 000000378 // Vermont
6187.358 403.457178330396 124.820480728608 245.584787561993 10.8160866075634 000000411 // Virginia
4866.692 417.609743949278 144.009729812365 240.734363300575 8.80783086334619 000000383 // Washington
1793.477 435.631457777267 99.5267851218611 284.396175696705 10.8894622010765 000000221 // West_Virginia
4891.769 420.251651294246 124.038563554412 248.447954104129 5.91524252269476 000000331 // Wisconsin
453.588 448.448812578816 119.70113847809 252.52872650952 19.8572272635079 000000270 // Wyoming
// 1990 US Census data from STF1C, tables P001 H002 H003 H030 H032. See www.census.gov
// population/1000; housing counts per 1000 people; median rent ($)
